#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2016 04 12 21 40 144  2.9  3.7  0.16 99.00  2.82 999 1028.3   4.1   4.8  -1.2 99.0 99.00 
2016 04 12 21 50 131  2.8  3.4 99.00 99.00 99.00 999 1028.4   4.1   4.7  -1.4 99.0 99.00 
2016 04 12 22 00 132  2.9  3.5 99.00 99.00 99.00 999 1028.5   4.2   4.8  -1.1 99.0 99.00 
2016 04 12 22 10 147  3.0  3.6 99.00 99.00 99.00 999 1028.5   4.2   4.7  -1.0 99.0 99.00 
2016 04 12 22 20 146  3.1  3.6 99.00 99.00 99.00 999 1028.5   4.2   4.6  -1.2 99.0 99.00 
2016 04 12 22 30 145  2.9  3.5 99.00 99.00 99.00 999 1028.5   4.3   4.6  -1.0 99.0 99.00 
2016 04 12 22 40 150  2.9  3.6  0.13 99.00  2.83 999 1028.5   4.3   4.6  -1.2 99.0 99.00 
2016 04 12 22 50 155  3.0  3.5 99.00 99.00 99.00 999 1028.5   4.4   4.6  -0.8 99.0 99.00 
2016 04 12 23 00 149  3.1  3.6 99.00 99.00 99.00 999 1028.5   4.4   4.5  -1.0 99.0 99.00 
2016 04 12 23 10 154  3.2  3.7 99.00 99.00 99.00 999 1028.5   4.4   4.5  -0.8 99.0 99.00 
2016 04 12 23 20 156  3.2  3.8 99.00 99.00 99.00 999 1028.4   4.4   4.5  -0.7 99.0 99.00 
2016 04 12 23 30 156  3.2  3.9 99.00 99.00 99.00 999 1028.4   4.4   4.5  -0.3 99.0 99.00 
2016 04 12 23 40 166  3.5  4.0  0.11 99.00  2.84 999 1028.4   4.4   4.5  -0.3 99.0 99.00 
2016 04 12 23 50 172  3.7  4.3 99.00 99.00 99.00 999 1028.4   4.4   4.5  -0.2 99.0 99.00 
2016 04 13 00 00 175  3.6  4.0 99.00 99.00 99.00 999 1028.4   4.4   4.4  -0.4 99.0 99.00 
2016 04 13 00 10 179  3.6  4.2 99.00 99.00 99.00 999 1028.5   4.4   4.4  -0.1 99.0 99.00 
2016 04 13 00 20 181  3.5  4.4 99.00 99.00 99.00 999 1028.6   4.4   4.4   0.2 99.0 99.00 
2016 04 13 00 30 184  3.7  4.3 99.00 99.00 99.00 999 1028.7   4.5   4.4   0.3 99.0 99.00 
2016 04 13 00 40 186  3.5  4.0  0.10 99.00  2.87 999 1028.7   4.6   4.4   0.6 99.0 99.00 
2016 04 13 00 50 193  3.4  4.1 99.00 99.00 99.00 999 1028.7   4.6   4.4   0.6 99.0 99.00 
2016 04 13 01 00 193  3.1  3.9 99.00 99.00 99.00 999 1028.9   4.7   4.4   0.7 99.0 99.00 
2016 04 13 01 10 175  2.5  3.0 99.00 99.00 99.00 999 1029.0   4.7   4.4   0.8 99.0 99.00 
2016 04 13 01 20 168  2.5  3.0 99.00 99.00 99.00 999 1029.1   4.8   4.4   0.9 99.0 99.00 
2016 04 13 01 30 169  2.3  2.8 99.00 99.00 99.00 999 1029.1   4.7   4.4   1.1 99.0 99.00 
2016 04 13 01 40 159  2.2  2.7  0.09 99.00  2.92 999 1029.2   4.8   4.4   1.0 99.0 99.00 
2016 04 13 01 50 158  1.9  2.3 99.00 99.00 99.00 999 1029.4   4.7   4.4   1.2 99.0 99.00 
2016 04 13 02 00 155  2.0  2.4 99.00 99.00 99.00 999 1029.6   4.7   4.4   1.1 99.0 99.00 
